mode,epoch,elapsedMs,heapUsedBytes,timestampMs
NONE,1,18187,1469361152,1789629846636
NONE,2,14389,1783588864,1789629861028
NONE,3,5462,2230626816,1789629866500
NONE,4,12966,2521876992,1789629879459
NONE,5,17252,2796649472,1789629896711
NONE,6,18605,2327838720,1789629915329
NONE,7,17024,2372927488,1789629932348
NONE,8,17140,2464153600,1789629949487
NONE,9,17494,3049259008,1789629966990
NONE,10,18198,3232759808,1789629985184
NONE,11,20035,1720365568,1789630005218
NONE,12,10342,2612002816,1789630015567
NONE,13,5525,2673868800,1789630021093
NONE,14,5541,2947547136,1789630026635
NONE,15,7680,1712543744,1789630034316
ENABLED,1,6397,1691352440,1789630043570
ENABLED,2,5921,1999633784,1789630049490
ENABLED,3,5965,2589982072,1789630055457
ENABLED,4,6091,2679028600,1789630061547
ENABLED,5,6573,3160291704,1789630068121
ENABLED,6,9210,1820146648,1789630077332
ENABLED,7,7063,2281701336,1789630084396
ENABLED,8,6738,2696937432,1789630091134
ENABLED,9,9065,2693791704,1789630100199
ENABLED,10,6339,1948254168,1789630106532
ENABLED,11,5726,2828009432,1789630112266
ENABLED,12,6566,2990538712,1789630118832
ENABLED,13,11925,2105540568,1789630130757
ENABLED,14,7002,2415919064,1789630137760
ENABLED,15,6041,2727346136,1789630143797
