mode,batchSize,meanMs,p50Ms,p99Ms,minMs,maxMs,throughputPerSec,sampleCount
remote-fastapi,1,3.641,3.239,7.974,1.983,8.091,274.642,200
remote-fastapi,8,3.205,3.036,6.34,2.162,6.919,2495.978,200
remote-fastapi,16,3.005,2.967,4.411,2.265,4.798,5324.702,200
remote-fastapi,32,4.3,3.596,18.885,1.869,26.835,7441.991,200
remote-fastapi,64,4.155,4.104,5.539,2.181,5.785,15404.167,200
